id,title,description,accesspoint,license,contributors,languages,extent_count,extent_text,disciplines,topics,created,updated,source
SSK_sc_linguisticAnnotationOfCorpora,"Linguistic annotation of corpora","This scenario explains the steps to take to annotate a corpus in order to conduct linguistic and statistical analysis based on it. This scenario wants to provide general information for people starting with linguistic annotation. The aim is to provide a generic scenario with no specific tool in mind: We refer to tools but don't specify how to use them. There are various tools and frameworks to perform the steps in this scenario that can be used depending on the language/s you are working with or your programming environment. A number of tool-boxes for Natural language processing (NLP) exist, which are able to perform several of the annotation steps in an integrated way. These resources are listed below under ""Using an existing NLP pipeline"". The next step after performing the procedures described in this scenario usually is to put the annotated corpus into a corpus query engine to query and analyze it based on its annotations. Again, some popular query engines already provide a built-in pipeline that is able to perform the basic processing steps in one go, taking most of the burden off the user.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_linguisticAnnotationOfCorpora,http://creativecommons.org/licenses/by/4.0/,23|24|25|26,English,7,steps,Linguistics,"Cluster Analysis|Collocation Analysis|Concordancing|Encoding|Named Entity Recognition|Pattern Recognition|Sequence Alignment|POS-Tagging|text",2019-02-04T14:56:29Z,2019-04-06T13:20:08Z,40
SSK_sc_mei,"Collaborative Digital Edition of a Musical Corpus","A project aims to do a digital edition of a musicalcorpus. The researchers need to be able to encode a broad range of musical documents in amachine-readable structure. The data to be encoded may include the musical content as providedby the composer (notes, pitches, durations, dynamics, etc.), information on the score (incipit,lyrics writer, etc.), information added by a performer when interpreting the content (timing,phrasing, various annotations, etc.), information on the visual appearance of the score (pagelayout, musical font, etc.) and analyses of the content in any of the other domains. Theedition will be structured around a database in order to allow the users to explore it moreeasily. Furthermore, the project intends to be collaborative, which means it will offer anyoneinterested the possibility to contribute.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_mei,http://creativecommons.org/licenses/by/4.0/,27|28|29,English,9,steps,"Musicology and performing arts","Encoding|Sound|Score|Multiple score formats",2018-02-05T15:58:16Z,2019-04-06T13:20:08Z,40
SSK_sc_mustispectralImaging,"Multispectral imaging for the in-situ characterization of painted works of art","Multispectral imaging is a commonly used technique that is currently available to the scientist, conservator, archaeologist and art historian for the non-invasive investigation of works of art. It has a relatively low cost, since inexpensive and widely available equipment exists that provides qualitative, non-invasive, affordable and portable tools for the spatial characterization of specific materials or types of materials. Furthermore, extensive research has been undertaken to develop optimized methodologies for the acquisition and processing of multispectral images as published in the literature but also in the context of the CHARISMA project. The main objective of the scenario is to establish standardized procedures for multispectral imaging analysis in order to accomplish qualitative results during the study of artworks.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_mustispectralImaging,http://creativecommons.org/licenses/by/4.0/,30|31|32,English,12,steps,"Art and art history|Cultural heritage and museology",Photography|Artifacts|Data|Images,2017-11-08T17:17:27Z,2019-04-15T10:05:49Z,40
SSK_sc_OCR,"Extract textual content from images",,http://ssk.huma-num.fr/#/scenarios/SSK_sc_OCR,http://creativecommons.org/licenses/by/4.0/,33|34|35|36|37|38|39,English,14,steps,Literature|History,"Pattern Recognition|Scanning|Images|Manuscript|Text|Text Bearing Objects",2019-02-26T17:37:03Z,2019-04-06T13:20:08Z,40
SSK_sc_Preservation3DObjects,"Preserving 3D digital objects","The long-term preservation of 3D digital objects raises some critical issues. Indeed, firstly, different kind of data can be archived: the original files depending on the method used to digitize; the final version, depending on the goal (simple acquisition or modelisation) and any relevant information (text, images, pdf , scenarios ...) added for a better comprehension of the 3D object. Secondly it is important that metadata accompany the archive to ensure that the 3D object will be human-readable in the long-term. These metadata have to be completed in distinct files. The 3D consortium of Huma-Num developed a tool, aLTAG3D to easily produce metadata file for the full 3D archive. Lastly, a place to preserve 3D data in the long term has to be found. Many solutions exist, depending on the countries. In France, there are solutions such as the 3D conservatory for 3D data research for mid-term preservation, and the CINES in the continuity for long-term preservation.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_Preservation3DObjects,http://creativecommons.org/licenses/by/4.0/,40|41|42|43|44|45|46,English,5,steps,"Archaeology and Prehistory|Cultural heritage and museology","Georeferencing|Photography|Preservation Metadata|Scanning|Technology Preservation|Images (3D)",2018-06-20T09:39:21Z,2019-04-06T13:20:08Z,40
SSK_sc_production3DObjectsScenario,"Production and processing of 3D objects","The project aim is to digitize objects at different scale from an artefact to cultural heritage site to help scientific community to visualize, analyze, simulate and synthesize the result of their research. It allows for better comprehension of the case studies.The 3D object is also a powerfull mean to bring out new hypotheses of research. In some cases, producing an ""accurate"" virtual version of cultural heritage site is a mean of preserving it. Those best practices and methods are detailed in the published in 2017, and in the""Digital 3D Objects in Art and Humanities: challenges of creation, interoperability and preservation""",http://ssk.huma-num.fr/#/scenarios/SSK_sc_production3DObjectsScenario,http://creativecommons.org/licenses/by/4.0/,47|48|49|50|51|52,English,5,steps,"Archaeology and Prehistory|Cultural heritage and museology","Georeferencing|Photography|Preservation Metadata|Scanning|Technology Preservation|Images (3D)",2018-06-20T09:39:21Z,2019-04-06T13:28:12Z,40
SSK_sc_ProsopographyV2,"Prosopography research","Prosopography is the investigation of the commonbackground characteristics of a group of actors in history, making a collective study of theirlives. Prosopography is mostly used by historians to address two main research questions: 1.roots of political action: e.g. the interests beneath the rhetoric of politics or the socialand economic affiliations of political groupings; 2. social structure and social mobility: e.g.the role in society, the degree of social mobility and the correlation of intellectual orreligious movements with other factors.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_ProsopographyV2,http://creativecommons.org/licenses/by/4.0/,53|54|55,English,15,steps,History,Metadata|Persons,2018-02-22T09:07:12Z,2019-04-06T13:20:08Z,40
SSK_sc_pXRF,"In situ X-Ray fluorescence analysis for the characterisation of materials on cultural heritage objects","X-ray fluorescence spectroscopy is a well-established method for the in situ investigation of archaeological objects and artworks through the characterization of the chemical (elemental) composition of materials. The fact that the method is essentially non-destructive makes it particularly attractive and widely used by heritage scientists, art historians, archaeologists, curators and conservators. The benefits of XRF include fast analysis, applicability to any type of object or composite material of various shapes and dimensions, suitability for the detection of major to trace elements and semi quantitative capabilities.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_pXRF,http://creativecommons.org/licenses/by/4.0/,56,English,16,steps,"History|Art and art history|Cultural heritage and museology",Scanning|Artifacts|Data,2019-02-26T13:38:58Z,2019-04-06T13:20:08Z,40
SSK_sc_RamanV2,"Raman spectrometry for the analysis and identification of pigments on cultural heritage objects","Raman spectrometry is a widely used technique for examining various types of cultural heritage objects, with significant contributions in studies concentrating on pigment identification. The Raman effect provides a quick and relatively straightforward molecular identification of a material under examination due to the fact that the Raman spectrum can be considered as a fingerprint that is used for compound identification. The method is considered significantly versatile therefore different types of equipment are commercially available such as bench top and laboratory instruments, probes/portable and handheld instruments. These advantages including the simplicity, accuracy and speed of the analysis has made Raman spectroscopy very successful in the field of cultural heritage. The current scenario presents a methodology for Raman analysis directly on cultural heritage object (no sampling).",http://ssk.huma-num.fr/#/scenarios/SSK_sc_RamanV2,http://creativecommons.org/licenses/by/4.0/,57|58|59,English,16,steps,"History|Art and art history|Cultural heritage and museology",Scanning|Artifacts|Data,2019-01-08T16:11:07Z,2019-04-06T13:20:08Z,40
SSK_sc_RUBRICA,"Aggregate together different datasets to obtain a single reference resource","A researcher has to confront two or more reference resources dataset, in order to find useful material and to satisfy his research question circumscribing and isolating a certain topic of interest. Therefore, he uses PARTHENOS specialized services (Resource Discovery Service, RUBRICA), as a support for his research needs.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_RUBRICA,http://creativecommons.org/licenses/by/4.0/,60|61|62,English,7,steps,history,metadata,2018-11-21T11:01:16Z,2019-04-06T13:20:08Z,40
SSK_sc_RUBRICA_technical,"Aggregate different datasets using RUBRICA","A researcher wants to do a search and aggregation of reference resources using RUBRICA tool.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_RUBRICA_technical,http://creativecommons.org/licenses/by/4.0/,63|64|65,English,12,steps,history,metadata,2018-11-22T15:12:34Z,2019-04-06T13:20:08Z,40
SSK_sc_schemaCustomization,"Project-centered EAD customization","TEI ODD can be used to document data models external to the TEI environment. Several projects working with archival standards (in particular EAD) use it as well. PARTHENOS created and maintain an instance of the EAD specification in ODD, that can be used to create project oriented customizations.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_schemaCustomization,http://creativecommons.org/licenses/by/4.0/,66,English,5,steps,"Library and information sciences|Cultural heritage and museology",Encoding|Mapping|Metadata,2017-09-11T07:42:55Z,2019-04-06T13:20:08Z,40
SSK_sc_scholarsStandardsV2,"Research standards for scholars","In medieval studies, it is often needed to define in an unambiguous way information like person names (i.e.: authors), titles of works and documents identifiers (i.e.: shelfmarks). In fact, information can frequently be ambiguous: there are several cases of homonimy; an author can have more than one appellation known; the title of a work can have different forms, and also shelfmarks may have different structures. The quantity of material involved in the research and the time employed to perform it may vary depending on the subject of the research itself.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_scholarsStandardsV2,http://creativecommons.org/licenses/by/4.0/,67|68|69|70|71,English,10,steps,History,"Metadata|Bibliographic Listings|Persons",2018-02-22T09:07:12Z,2019-04-06T13:20:08Z,40
SSK_sc_statisticalAnalysisOccupations,"Perform Statistical Analysis on Historical andContemporary Occupations","Given a large dataset with several raw variables, asocial science researcher needs to (re)code some of the data in order to properly conductstatistical analysis and modelling techniques. To allow comparison across studies, researchersoften develop and use certain standards for recoding some aspects of individuals, such asrecoding contemporary occupations into the ISCO. After (re)coding variables, scales are oftenconstructed by using standard methods such as factor and reliability analysis. Several softwarepackages, such as SPSS Statistics, exist that are widely used for these purposes across socialscience researchers. Statistical analyses and modelling also have certain software standards.Finally, reporting the results is done within a consistent style, such as APA Style. Some ofthese coding, software and reporting standards are covered in this use case.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_statisticalAnalysisOccupations,http://creativecommons.org/licenses/by/4.0/,72,English,5,steps,"History|Sociology|Methods and statistics",Encoding|Data,2017-10-12T14:06:09Z,2019-04-06T13:20:08Z,40
SSK_sc_trackingTheDisseminationV2,"Tracking the dissemination of a specific work","In medieval studies, the dissemination of a work can giveimportant information on life and movements of the author; plus, it can influence local historyand everyday activities: i.e. some medical practices were performed just in places where thework carrying information about them was spread. Moreover, it can be useful also to understandif the work was disseminated alone or together with other works, and why: for instance, inmedieval universities the essential works for the study of a discipline were often gathered inthe same manuscript. Therefore, scholars may have interest in the itinerary made by a givenwork, and may want to track it.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_trackingTheDisseminationV2,http://creativecommons.org/licenses/by/4.0/,73|74|75|76|77,English,13,steps,History,Metadata,2018-02-22T09:07:12Z,2019-04-06T13:20:08Z,40
SSK_sc_UAV,"UAV data acquisition and management for multitemporal surveys of archaeological sites.","Aerial photogrammetry is a powerful technique that can be used for recording and analyzing excavation phases of archaeological sites. Based on the authors experience, there are some strategies that can speed up the data acquisition, processing and analysis steps. This works aims to underline best practices and lesson learned in the scenario of UAV data acquisition and management for multitemporal surveys of archaeological sites with a photogrammetric approach.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_UAV,http://creativecommons.org/licenses/by/4.0/,78|79|80,English,5,steps,"Archaeology and Prehistory","Georeferencing|Images (3D)",2019-05-20T15:17:42Z,2019-05-21T09:40:30Z,40
SSK_sc_XRFmapping,"Macro-X-ray fluorescence mapping of materials on cultural heritage objects","Scanning X-ray fluorescence spectroscopy (MAXRF) encompasses all the benefits of conventional point analysis XRF for the in situ characterization of the chemical (major to trace elements) composition of materials in archaeological objects and artworks. In addition it offers the unvaulable information about distribution of these materials on the investigated surface, which can provide a unique insight into the creative process of the artist (revealing hidden sub-surface layers) but also can uncover restorations on the surface. Then, elemental maps can be used for direct intercomparison with other spectral imaging data",http://ssk.huma-num.fr/#/scenarios/SSK_sc_XRFmapping,http://creativecommons.org/licenses/by/4.0/,81,English,16,steps,"History|Art and art history|Cultural heritage and museology",Scanning|Artifacts|Data,2019-02-26T13:38:58Z,2019-04-06T13:20:08Z,40
